qid_label,qid_columns,records_with_person,unique_persons,qid_groups,median_k_records,mean_k_records,pct_records_k1,pct_records_k_le_5,pct_records_k_le_10,median_person_l_diversity,mean_person_l_diversity,pct_records_person_l1,h_person_bits,h_person_given_q_bits,i_struct_empirical_bits,i_struct_normalized,effective_person_candidates,map_reid_accuracy,random_within_qid_accuracy,fano_error_lb_uniform
T0_global,<none>,341,143,1,341.0,341.0,0.0,0.0,0.0,143.0,143.0,0.0,6.684661199457825,6.684661199457825,0.0,0.0,102.86876641707327,0.05571847507331378,0.006993006993006994,0.8603326857476807
T1_district_street_week,区县地址 + 街道地址 + week_start,341,143,94,5.0,4.700879765395895,0.04105571847507331,0.6774193548387096,1.0,5.0,4.589442815249267,0.04105571847507331,6.684661199457825,2.037617076706544,4.64704412275128,0.6951802019716706,4.10566830272877,0.2932551319648094,0.27967113531629656,0.2112925139109847
T2_plus_l1,区县地址 + 街道地址 + week_start + mapped_l1_name,341,143,228,2.0,1.8856304985337244,0.4252199413489736,1.0,1.0,2.0,1.8563049853372433,0.4310850439882698,6.684661199457825,0.7230745602061244,5.9615866392517,0.8918307841443376,1.6506961247719376,0.6774193548387096,0.6735092864125123,0.027693891160886164
T2_plus_l2,区县地址 + 街道地址 + week_start + mapped_l2_name,341,143,282,1.0,1.3812316715542523,0.6715542521994134,1.0,1.0,1.0,1.3753665689149561,0.6774193548387096,6.684661199457825,0.35345843112311076,6.331202768334714,0.9471239572842108,1.277619671434607,0.8299120234604106,0.8299120234604106,0.0
T3_plus_callback,区县地址 + 街道地址 + week_start + mapped_l2_name + 是否回访,341,143,311,1.0,1.187683284457478,0.8299120234604106,1.0,1.0,1.0,1.1818181818181819,0.8357771260997068,6.684661199457825,0.17451546922090003,6.510145730236925,0.9738931467110025,1.1285853044840897,0.9149560117302052,0.9149560117302052,0.0
T3_plus_solved,区县地址 + 街道地址 + week_start + mapped_l2_name + 问题是否解决,341,143,311,1.0,1.1935483870967742,0.8328445747800587,1.0,1.0,1.0,1.1935483870967742,0.8328445747800587,6.684661199457825,0.1825943182008516,6.502066881256973,0.9726845814989604,1.1349229201296196,0.9120234604105572,0.9120234604105572,0.0
T3_plus_hotspot,区县地址 + 街道地址 + week_start + mapped_l2_name + 是否热点,341,143,295,1.0,1.2991202346041055,0.7448680351906158,1.0,1.0,1.0,1.2932551319648093,0.750733137829912,6.684661199457825,0.27499835047160504,6.40966284898622,0.9588612882139922,1.2099927057540347,0.8680351906158358,0.8680351906158358,0.0
T3_plus_person_recur_bin,区县地址 + 街道地址 + week_start + mapped_l2_name + person_recurrence_bin,341,143,325,1.0,1.093841642228739,0.906158357771261,1.0,1.0,1.0,1.0879765395894427,0.9120234604105572,6.684661199457825,0.0879765395894428,6.596684659868382,0.9868390428528258,1.0628783902025494,0.9560117302052786,0.9560117302052786,0.0
T3_plus_address_recur_bin,区县地址 + 街道地址 + week_start + mapped_l2_name + address_recurrence_bin,341,143,323,1.0,1.1055718475073313,0.8944281524926686,1.0,1.0,1.0,1.1055718475073313,0.8944281524926686,6.684661199457825,0.10557184750733135,6.579089351950493,0.9842068514233909,1.0759207734932117,0.9472140762463344,0.9472140762463344,0.0
T3_plus_undertaking_unit,区县地址 + 街道地址 + week_start + mapped_l2_name + 承办单位,341,143,326,1.0,1.0879765395894427,0.9120234604105572,1.0,1.0,1.0,1.0879765395894427,0.9120234604105572,6.684661199457825,0.0879765395894428,6.596684659868382,0.9868390428528258,1.0628783902025494,0.9560117302052786,0.9560117302052786,0.0
T4_plus_text_subject,区县地址 + 街道地址 + week_start + mapped_l2_name + text_subject_id,341,143,338,1.0,1.0175953079178885,0.9824046920821115,1.0,1.0,1.0,1.0175953079178885,0.9824046920821115,6.684661199457825,0.01759530791788856,6.667065891539936,0.9973678085705652,1.012270814244494,0.9912023460410557,0.9912023460410557,0.0
T4_plus_text_place,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_id,341,143,341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.684661199457825,0.0,6.684661199457825,1.0,1.0,1.0,1.0,0.0
T4_plus_address_id,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id,341,143,341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.684661199457825,0.0,6.684661199457825,1.0,1.0,1.0,1.0,0.0
T4_plus_relation_keys,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,341,143,341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.684661199457825,0.0,6.684661199457825,1.0,1.0,1.0,1.0,0.0
